sectperf	unit	geo	time	values
GOV	MIO_PPS_KP05	UK	2015-01-01	2363.748
GOV	PC_GDP	AT	2015-01-01	0.14
GOV	PC_GDP	BE	2015-01-01	0.19
GOV	PC_GDP	BG	2015-01-01	0.2
GOV	PC_GDP	CH	2015-01-01	0.03
GOV	PC_GDP	CY	2015-01-01	0.06
GOV	PC_GDP	CZ	2015-01-01	0.4
GOV	PC_GDP	DE	2015-01-01	0.43
GOV	PC_GDP	DK	2015-01-01	0.07
GOV	PC_GDP	EA19	2015-01-01	0.28
GOV	PC_GDP	EE	2015-01-01	0.16
GOV	PC_GDP	EL	2015-01-01	0.26
GOV	PC_GDP	ES	2015-01-01	0.23
GOV	PC_GDP	EU28	2015-01-01	0.24
GOV	PC_GDP	FI	2015-01-01	0.24
GOV	PC_GDP	FR	2015-01-01	0.29
GOV	PC_GDP	HR	2015-01-01	0.21
GOV	PC_GDP	HU	2015-01-01	0.18
GOV	PC_GDP	IE	2015-01-01	0.05
GOV	PC_GDP	IS	2015-01-01	0.11
GOV	PC_GDP	IT	2015-01-01	0.18
GOV	PC_GDP	LT	2015-01-01	0.18
GOV	PC_GDP	LU	2015-01-01	0.41
GOV	PC_GDP	LV	2015-01-01	0.16
GOV	PC_GDP	MT	2015-01-01	0.13
GOV	PC_GDP	NL	2015-01-01	0.25
GOV	PC_GDP	NO	2015-01-01	0.29
GOV	PC_GDP	PL	2015-01-01	0.25
GOV	PC_GDP	PT	2015-01-01	0.08
GOV	PC_GDP	RO	2015-01-01	0.19
GOV	PC_GDP	RU	2015-01-01	0.35
GOV	PC_GDP	SE	2015-01-01	0.11
GOV	PC_GDP	SI	2015-01-01	0.3
GOV	PC_GDP	SK	2015-01-01	0.33
GOV	PC_GDP	UK	2015-01-01	0.12
GOV	PPS_HAB_KP05	AT	2015-01-01	42.7
GOV	PPS_HAB_KP05	BE	2015-01-01	55.2
GOV	PPS_HAB_KP05	BG	2015-01-01	23.3
GOV	PPS_HAB_KP05	CH	2015-01-01	10.7
GOV	PPS_HAB_KP05	CY	2015-01-01	12.9
GOV	PPS_HAB_KP05	CZ	2015-01-01	87.5
GOV	PPS_HAB_KP05	DE	2015-01-01	134.9
GOV	PPS_HAB_KP05	DK	2015-01-01	19.3
GOV	PPS_HAB_KP05	EA19	2015-01-01	74.6
GOV	PPS_HAB_KP05	EE	2015-01-01	26.8
GOV	PPS_HAB_KP05	EL	2015-01-01	45.8
GOV	PPS_HAB_KP05	ES	2015-01-01	53.4
GOV	PPS_HAB_KP05	EU28	2015-01-01	62.1
GOV	PPS_HAB_KP05	FI	2015-01-01	63.5
GOV	PPS_HAB_KP05	FR	2015-01-01	76.8
GOV	PPS_HAB_KP05	HR	2015-01-01	28.6
GOV	PPS_HAB_KP05	HU	2015-01-01	29.5
GOV	PPS_HAB_KP05	IE	2015-01-01	22.7
GOV	PPS_HAB_KP05	IS	2015-01-01	35
GOV	PPS_HAB_KP05	IT	2015-01-01	39.8
GOV	PPS_HAB_KP05	LT	2015-01-01	31.7
GOV	PPS_HAB_KP05	LU	2015-01-01	243.3
GOV	PPS_HAB_KP05	LV	2015-01-01	24.9
GOV	PPS_HAB_KP05	MT	2015-01-01	31.7
GOV	PPS_HAB_KP05	NL	2015-01-01	82.8
GOV	PPS_HAB_KP05	NO	2015-01-01	120
GOV	PPS_HAB_KP05	PL	2015-01-01	41.9
GOV	PPS_HAB_KP05	PT	2015-01-01	13.9
GOV	PPS_HAB_KP05	RO	2015-01-01	20.8
GOV	PPS_HAB_KP05	RU	2015-01-01	63
GOV	PPS_HAB_KP05	SE	2015-01-01	35.8
GOV	PPS_HAB_KP05	SI	2015-01-01	64.5
GOV	PPS_HAB_KP05	SK	2015-01-01	64.4
GOV	PPS_HAB_KP05	UK	2015-01-01	36.4
HES	EUR_HAB	AT	2015-01-01	296.2
HES	EUR_HAB	BE	2015-01-01	178.4
HES	EUR_HAB	BG	2015-01-01	3.3
HES	EUR_HAB	CY	2015-01-01	51
HES	EUR_HAB	CZ	2015-01-01	76.8
HES	EUR_HAB	DE	2015-01-01	186.3
HES	EUR_HAB	DK	2015-01-01	506.2
HES	EUR_HAB	EA19	2015-01-01	144.3
HES	EUR_HAB	EE	2015-01-01	95.3
HES	EUR_HAB	EL	2015-01-01	59.3
HES	EUR_HAB	ES	2015-01-01	79.7
HES	EUR_HAB	EU28	2015-01-01	136.4
HES	EUR_HAB	FI	2015-01-01	270.6
HES	EUR_HAB	FR	2015-01-01	148.5
HES	EUR_HAB	HR	2015-01-01	21.5
HES	EUR_HAB	HU	2015-01-01	18.6
HES	EUR_HAB	IE	2015-01-01	152.8
HES	EUR_HAB	IS	2015-01-01	307.3
HES	EUR_HAB	IT	2015-01-01	102.9
HES	EUR_HAB	LT	2015-01-01	74.1
HES	EUR_HAB	LU	2015-01-01	212.6
HES	EUR_HAB	LV	2015-01-01	38.1
HES	EUR_HAB	MT	2015-01-01	53.5
HES	EUR_HAB	NL	2015-01-01	258.9
HES	EUR_HAB	NO	2015-01-01	400.1
HES	EUR_HAB	PL	2015-01-01	32.8
HES	EUR_HAB	PT	2015-01-01	100.4
HES	EUR_HAB	RO	2015-01-01	6.9
HES	EUR_HAB	RU	2015-01-01	8.8
HES	EUR_HAB	SE	2015-01-01	401.8
HES	EUR_HAB	SI	2015-01-01	42.1
HES	EUR_HAB	SK	2015-01-01	74.9
HES	EUR_HAB	UK	2015-01-01	173.2
HES	MIO_EUR	AT	2015-01-01	2540.04
HES	MIO_EUR	BE	2015-01-01	2008.68
HES	MIO_EUR	BG	2015-01-01	23.445
HES	MIO_EUR	CY	2015-01-01	43.2
HES	MIO_EUR	CZ	2015-01-01	809.513
